"League","Match_Date","Matchweek","Home_Team","Home_Formation","Home_Score","Home_xG","Home_Goals","Home_Yellow_Cards","Home_Red_Cards","Away_Team","Away_Formation","Away_Score","Away_xG","Away_Goals","Away_Yellow_Cards","Away_Red_Cards","Team","Home_Away","Min","Gls","Ast","PK","PKatt","Sh","SoT","CrdY","CrdR","Touches","Tkl","Int","Blocks","xG_Expected","npxG_Expected","xAG_Expected","SCA_SCA","GCA_SCA","Cmp_Passes","Att_Passes","Cmp_percent_Passes","PrgP_Passes","Carries_Carries","PrgC_Carries","Att_Take_Ons","Succ_Take_Ons"
"UEFA Champions League","2021-09-14","UEFA Champions League (Group stage)","Young Boys","4-2-3-1",2,1.4,"Moumi Ngamaleu · 66&rsquor; Jordan Pefok · 90+5&rsquor;","2","0","Manchester United","4-2-3-1",1,0.5,"Cristiano Ronaldo · 13&rsquor; Aaron Wan-Bissaka · 35&rsquor;","1","1","Young Boys","Home",990,2,1,0,0,19,5,2,0,632,12,17,7,1.4,1.4,1,30,2,420,511,82.2,58,416,23,23,10
"UEFA Champions League","2021-09-14","UEFA Champions League (Group stage)","Young Boys","4-2-3-1",2,1.4,"Moumi Ngamaleu · 66&rsquor; Jordan Pefok · 90+5&rsquor;","2","0","Manchester United","4-2-3-1",1,0.5,"Cristiano Ronaldo · 13&rsquor; Aaron Wan-Bissaka · 35&rsquor;","1","1","Manchester United","Away",934,1,1,0,0,2,2,1,1,553,21,9,6,0.5,0.5,0.5,4,2,345,439,78.6,24,283,4,10,4
"UEFA Champions League","2021-09-14","UEFA Champions League (Group stage)","Sevilla","4-3-3",1,1.5,"Ivan Rakitić (P) · 42&rsquor; Youssef En-Nesyri · 50&rsquor;","7","1","Red Bull Salzburg","4-1-2-1-2",1,2.9,"Luka Sučić (P) · 21&rsquor;","4","0","Sevilla","Home",949,1,0,1,1,10,1,6,1,562,14,4,11,1.5,0.7,0.5,20,2,333,439,75.9,29,311,14,33,17
"UEFA Champions League","2021-09-14","UEFA Champions League (Group stage)","Sevilla","4-3-3",1,1.5,"Ivan Rakitić (P) · 42&rsquor; Youssef En-Nesyri · 50&rsquor;","7","1","Red Bull Salzburg","4-1-2-1-2",1,2.9,"Luka Sučić (P) · 21&rsquor;","4","0","Red Bull Salzburg","Away",990,1,0,1,3,13,7,4,0,591,24,7,7,2.9,0.6,0.3,26,2,376,476,79,39,334,19,16,11
"UEFA Champions League","2021-09-14","UEFA Champions League (Group stage)","Chelsea","3-4-3",1,0.7,"Romelu Lukaku · 69&rsquor;","1","0","Zenit","5-4-1",0,0.9,"","1","0","Chelsea","Home",990,1,1,0,0,11,2,1,0,921,10,7,9,0.7,0.7,0.6,21,2,757,845,89.6,91,650,29,22,14
"UEFA Champions League","2021-09-14","UEFA Champions League (Group stage)","Chelsea","3-4-3",1,0.7,"Romelu Lukaku · 69&rsquor;","1","0","Zenit","5-4-1",0,0.9,"","1","0","Zenit","Away",990,0,0,0,0,6,2,1,0,550,19,14,12,0.9,0.9,0.8,9,0,365,441,82.8,19,326,8,11,6
"UEFA Champions League","2021-09-14","UEFA Champions League (Group stage)","Villarreal","4-4-2",2,2.3,"Manu Trigueros · 39&rsquor; Arnaut Danjuma · 73&rsquor; Francis Coquelin · 84&rsquor;","6","1","Atalanta","3-4-3",2,1.3,"Remo Freuler · 6&rsquor; Robin Gosens · 83&rsquor;","1","0","Villarreal","Home",983,2,1,0,0,14,7,5,1,542,10,10,8,2.3,2.3,1.7,20,2,334,435,76.8,26,261,14,19,5
"UEFA Champions League","2021-09-14","UEFA Champions League (Group stage)","Villarreal","4-4-2",2,2.3,"Manu Trigueros · 39&rsquor; Arnaut Danjuma · 73&rsquor; Francis Coquelin · 84&rsquor;","6","1","Atalanta","3-4-3",2,1.3,"Remo Freuler · 6&rsquor; Robin Gosens · 83&rsquor;","1","0","Atalanta","Away",990,2,2,0,0,13,4,1,0,592,25,14,15,1.3,1.3,1.2,24,4,370,473,78.2,30,366,20,19,13
"UEFA Champions League","2021-09-14","UEFA Champions League (Group stage)","Lille","4-4-2",0,1.6,"","2","0","Wolfsburg","4-2-3-1",0,0.1,"John Brooks · 63&rsquor;","7","1","Lille","Home",990,0,0,0,0,17,4,2,0,640,21,8,7,1.6,1.6,1.1,29,0,424,534,79.4,56,311,19,15,7
"UEFA Champions League","2021-09-14","UEFA Champions League (Group stage)","Lille","4-4-2",0,1.6,"","2","0","Wolfsburg","4-2-3-1",0,0.1,"John Brooks · 63&rsquor;","7","1","Wolfsburg","Away",962,0,0,0,0,2,0,6,1,575,18,8,12,0.1,0.1,0.1,2,0,355,461,77,26,257,11,25,12
