H_Team,A_Team,Home_Score,Away_Score,Score,Matchweek,date,competition,season,H_Team_MQS,A_Team_MQS,MQS
Dynamo Kyiv,Juventus,0,2,0 - 2,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,34.22615120728328,59.18326956062805,46.704710383955664
Zenit,Club Brugge,1,2,1 - 2,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,54.756564190526454,64.27628974798786,59.516426969257154
Chelsea,Sevilla,0,0,0 - 0,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,41.67436337247658,30.478955007256896,36.07665918986674
RB Leipzig,İstanbul Başakşehir,2,0,2 - 0,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,54.43989972291859,45.01913181158464,49.72951576725161
Barcelona,Ferencváros,5,1,5 - 1,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,78.96820160971104,37.56432246998285,58.26626203984695
Lazio,Dortmund,3,1,3 - 1,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,53.86594537537934,57.14474205040243,55.505343712890884
Paris Saint-Germain,Manchester United,1,2,1 - 2,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,61.90790341733738,59.156880854994064,60.532392136165726
Rennes,Krasnodar,1,1,1 - 1,UEFA Champions League (Group stage),2020-10-20,UEFA Champions League,2020-2021,64.83045256630163,37.69626599815279,51.26335928222721
Red Bull Salzburg,Lokomotiv Moscow,2,2,2 - 2,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,76.54703786779258,55.23815806834675,65.89259796806967
Real Madrid,Shakhtar Donetsk,2,3,2 - 3,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,63.87386198706953,58.358622509565905,61.11624224831772
Manchester City,Porto,3,1,3 - 1,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,47.55904472885605,24.30399788890355,35.9315213088798
Internazionale,Mönchengladbach,2,2,2 - 2,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,73.95434753925319,54.9017020715134,64.4280248053833
Bayern Munich,Atlético Madrid,4,0,4 - 0,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,70.31930333817127,42.16255442670537,56.24092888243832
Ajax,Liverpool,0,1,0 - 1,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,59.123894972951575,61.221797070853675,60.17284602190263
Midtjylland,Atalanta,0,4,0 - 4,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,48.32431719224172,68.51827417865154,58.42129568544663
Olympiacos,Marseille,1,0,1 - 0,UEFA Champions League (Group stage),2020-10-21,UEFA Champions League,2020-2021,45.777807098561816,47.47328143554559,46.6255442670537
Shakhtar Donetsk,Internazionale,0,0,0 - 0,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,30.14249901042354,56.70932840744162,43.425913708932576
Porto,Olympiacos,2,0,2 - 0,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,58.985354268373136,41.746932312970046,50.36614329067159
Liverpool,Midtjylland,2,0,2 - 0,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,51.946167040506666,37.08932576857105,44.517746404538855
Lokomotiv Moscow,Bayern Munich,1,2,1 - 2,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,54.49927431059507,70.22034569204381,62.35981000131944
Atlético Madrid,Red Bull Salzburg,3,2,3 - 2,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,80.9077714738092,51.45797598627787,66.18287373004354
Atalanta,Ajax,2,2,2 - 2,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,78.01820820688745,65.28565773848793,71.65193297268769
Marseille,Manchester City,0,3,0 - 3,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,26.434885868848134,49.287504947882304,37.86119540836522
Mönchengladbach,Real Madrid,2,2,2 - 2,UEFA Champions League (Group stage),2020-10-27,UEFA Champions League,2020-2021,59.27563003034701,75.39253199630558,67.3340810133263
Manchester United,RB Leipzig,5,0,5 - 0,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,66.87557725293574,37.438976118221404,52.15727668557857
Krasnodar,Chelsea,0,4,0 - 4,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,46.345164269692575,54.189207019395695,50.267185644544135
İstanbul Başakşehir,Paris Saint-Germain,0,2,0 - 2,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,60.687425781765405,74.1654571843251,67.42644148304525
Juventus,Barcelona,0,2,0 - 2,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,48.79931389365352,64.58635703918723,56.69283546642038
Club Brugge,Lazio,1,1,1 - 1,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,58.35202533315741,43.640321942208736,50.99617363768307
Ferencváros,Dynamo Kyiv,2,2,2 - 2,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,46.477107797862516,33.86330650481594,40.17020715133923
Dortmund,Zenit,2,0,2 - 0,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,59.94194484760522,31.93033381712627,45.93613933236575
Sevilla,Rennes,1,0,1 - 0,UEFA Champions League (Group stage),2020-10-28,UEFA Champions League,2020-2021,68.26758147512864,21.599155561419714,44.93336851827418
Shakhtar Donetsk,Mönchengladbach,0,6,0 - 6,UEFA Champions League (Group stage),2020-11-03,UEFA Champions League,2020-2021,31.67304393719488,60.23881778598759,45.955930861591234
Porto,Marseille,3,0,3 - 0,UEFA Champions League (Group stage),2020-11-03,UEFA Champions League,2020-2021,49.14236706689537,31.60707217310991,40.37471962000264
