League,Match_Date,Matchweek,Team,Home_Away,Home_Team,Away_Team,Home_Score,Away_Score,Home_Formation,Away_Formation,season,Formation,npxG_Expected,SoT,xAG_Expected,SCA_SCA,GCA_SCA,PrgP_Passes,PrgC_Carries,Succ_Take_Ons,Tkl,Int,Blocks,team_Shots_MQS,team_DA_MQS,team_Poss_MQS,team_Def_MQS,team_MQS
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),Dynamo Kyiv,Home,Dynamo Kyiv,Juventus,0,2,4-3-3,4-4-1-1,2020-2021,4-3-3,16.182873730043543,54.862119013062404,13.20754716981132,28.519593613933235,28.88243831640058,49.34687953555878,49.709724238026126,13.062409288824384,15.239477503628446,95.28301886792453,12.191582002902758,35.522496371552975,23.536526366715044,49.52830188679245,33.94412191582003,34.22615120728328
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),Juventus,Away,Dynamo Kyiv,Juventus,0,2,4-3-3,4-4-1-1,2020-2021,4-4-1-1,82.22060957910014,79.10014513788099,44.55732946298984,34.034833091436866,67.12626995645864,69.59361393323658,56.16835994194484,95.86357039187227,15.239477503628446,99.7822931785196,7.329462989840348,80.66037735849056,48.572810836961786,62.88098693759071,54.55370101596516,59.18326956062805
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),Zenit,Home,Zenit,Club Brugge,1,2,4-4-2,4-3-3,2020-2021,4-4-2,84.1799709724238,41.146589259796805,88.24383164005806,61.901306240928875,28.88243831640058,49.34687953555878,38.38896952104499,29.172714078374458,29.245283018867923,87.30043541364296,64.51378809869375,62.6632801161103,59.67585873246251,43.867924528301884,52.55805515239477,54.756564190526454
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),Club Brugge,Away,Zenit,Club Brugge,1,2,4-4-2,4-3-3,2020-2021,4-3-3,94.04934687953556,41.146589259796805,80.62409288824384,59.43396226415094,67.12626995645864,55.8055152394775,65.74746008708273,83.09143686502178,36.79245283018868,87.30043541364296,35.92162554426706,67.59796806966618,69.06144170295114,60.776487663280115,60.77648766328012,64.27628974798786
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),Chelsea,Home,Chelsea,Sevilla,0,0,4-2-3-1,4-3-3,2020-2021,4-2-3-1,11.683599419448477,54.862119013062404,13.20754716981132,8.055152394775037,28.88243831640058,44.70246734397678,33.236574746008706,39.477503628447025,89.84034833091437,61.03047895500726,73.43976777939042,33.27285921625544,16.71504596032898,38.969521044992746,65.94702467343977,41.67436337247658
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),Sevilla,Away,Chelsea,Sevilla,0,0,4-2-3-1,4-3-3,2020-2021,4-3-3,4.571843251088534,25.907111756168362,8.055152394775037,10.740203193033382,28.88243831640058,51.30624092888244,22.35123367198839,48.76632801161103,29.245283018867923,61.03047895500726,44.412191582002905,15.239477503628448,15.892597968069667,36.828737300435414,45.86357039187228,30.478955007256896
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),RB Leipzig,Home,RB Leipzig,İstanbul Başakşehir,2,0,4-1-4-1,4-1-4-1,2020-2021,4-1-4-1,40.711175616835995,79.10014513788099,50.29027576197388,46.516690856313495,81.27721335268505,39.18722786647315,33.236574746008706,29.172714078374458,83.01886792452831,97.24238026124819,19.085631349782293,59.90566037735849,59.361393323657474,36.21190130624093,57.12989840348331,54.43989972291859
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),İstanbul Başakşehir,Away,RB Leipzig,İstanbul Başakşehir,2,0,4-1-4-1,4-1-4-1,2020-2021,4-1-4-1,20.174165457184326,41.146589259796805,24.74600870827286,16.618287373004353,28.88243831640058,67.48911465892597,81.13207547169812,72.42380261248186,15.239477503628446,99.20174165457183,28.156748911465897,30.660377358490564,23.415578132559265,74.31059506531204,53.75544267053701,45.01913181158464
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),Barcelona,Home,Barcelona,Ferencváros,5,1,4-2-3-1,4-2-3-1,2020-2021,4-2-3-1,79.82583454281567,97.96806966618288,83.38171262699564,95.06531204644412,99.34687953555878,78.15674891146588,88.53410740203192,78.51959361393324,83.01886792452831,81.56748911465893,3.265602322206096,88.89695210449928,92.59796806966618,83.34542815674891,61.592888243831645,78.96820160971104
UEFA Champions League,2020-10-20,UEFA Champions League (Group stage),Ferencváros,Away,Barcelona,Ferencváros,5,1,4-2-3-1,4-2-3-1,2020-2021,4-2-3-1,16.182873730043543,12.69956458635704,13.20754716981132,21.04499274310595,60.087082728592165,34.25253991291727,9.724238026124818,20.246734397677795,73.22206095791002,97.24238026124819,55.29753265602322,14.44121915820029,31.446540880503147,21.988388969521043,61.502177068214806,37.56432246998285
